X,Y,Z,Cu,HoleId,ClusterId
3008.92,5407.9,2390.26,1.23,0,0
2984.38,5410.7,2398.86,1.66,64,0
2959.1,5465.9,2440.5,0.84,23,0
2982.46,5410.7,2401.15,2,64,0
3035.82,5207,2386.94,1.41,32,0
3097.8,5206,2400.3,0.68,27,0
3097.8,5206,2397.3,0.68,27,0
3034.95,5207,2388.57,1.41,32,0
3097.8,5206,2394.3,0.79,27,0
3037.23,5207,2384.29,1.41,32,0
3033,5207,2392.24,1.91,32,0
3034.25,5207,2389.9,1.91,32,0
3095.4,5155.2,2410.5,0.83,3,0
3141.13,5206.9,2401.46,0.67,6,0
3241.61,5206.9,2521.21,0.5,6,0
3056.08,5106,2442.61,0.69,8,0
3054.07,5106,2440.38,0.73,8,0
3097.8,5206,2391.3,0.71,27,0
3143.06,5206.9,2403.76,0.67,6,0
3240.12,5206.9,2519.43,0.5,6,0
3242.57,5206.9,2522.36,0.5,6,0
2962.79,5313.7,2384.94,1.31,78,0
2951.1,5266.7,2401.5,1.09,42,0
2958.3,5369.1,2396.7,0.83,37,0
2960.97,5313.7,2387.19,1.31,78,0
2853.3,5365.2,2562.6,0.75,39,0
2853.3,5365.2,2559.6,0.69,39,0
2986.31,5410.7,2396.56,1.66,64,0
3007.31,5407.9,2388.34,1.23,0,0
3051.89,5106,2437.97,0.73,8,0
3097.8,5206,2388.3,0.71,27,0
2999.6,5407.9,2379.15,1.17,0,0
2938.85,5513.6,2462.56,0.83,56,0
3059.5,5455.3,2371.5,0.91,44,0
2997.88,5410.7,2382.77,1.27,64,0
2944.83,5513.6,2455.44,0.86,56,0
3059.5,5455.3,2383.5,1.22,44,0
2959.1,5465.9,2437.5,0.84,23,0
2997.67,5407.9,2376.85,1.17,0,0
2992.1,5410.7,2389.66,1.58,64,0
3003.67,5410.7,2375.87,1.06,64,0
2940.01,5513.6,2461.18,0.82,56,0
3005.6,5410.7,2373.58,1.06,64,0
3059.5,5455.3,2365.5,0.88,44,0
3059.5,5455.3,2377.5,1.1,44,0
3059.5,5455.3,2380.5,1.11,44,0
2959.1,5465.9,2434.5,0.83,23,0
2999.81,5410.7,2380.47,1.27,64,0
3001.74,5410.7,2378.17,1.06,64,0
2942.9,5513.6,2457.74,0.82,56,0
2941.3,5513.6,2459.65,0.82,56,0
2937.38,5513.6,2464.32,0.83,56,0
3005.39,5407.9,2386.04,0.99,0,0
3007.52,5410.7,2371.28,0.91,64,0
3059.5,5455.3,2368.5,0.91,44,0
3059.5,5455.3,2389.5,0.95,44,0
3059.5,5455.3,2374.5,1.1,44,0
3059.5,5455.3,2392.5,0.95,44,0
3059.5,5455.3,2386.5,1.22,44,0
3070.3,5557.7,2628.9,1.34,11,0
3070.3,5557.7,2625.9,1.34,11,0
3070.3,5557.7,2622.9,1.22,11,0
3099.1,5369.4,2357.7,0.91,14,0
3013.31,5410.7,2364.38,0.9,64,0
2958.3,5369.1,2384.7,1.11,37,0
2958.3,5369.1,2393.7,0.83,37,0
2991.89,5407.9,2369.96,1.42,0,0
3011.38,5410.7,2366.68,0.89,64,0
2958.3,5369.1,2390.7,1.06,37,0
2958.3,5369.1,2387.7,1.06,37,0
2995.74,5407.9,2374.55,1.17,0,0
2993.82,5407.9,2372.26,1.42,0,0
3009.45,5410.7,2368.98,0.91,64,0
2880.25,5410.7,2522.96,1.04,64,0
2886.04,5410.7,2516.06,1.32,64,0
2878.32,5410.7,2525.25,1.04,64,0
2884.11,5410.7,2518.36,1.31,64,0
2882.18,5410.7,2520.66,1.31,64,0
2958.3,5369.1,2378.7,1.22,37,0
2989.96,5407.9,2367.66,1.54,0,0
2958.3,5369.1,2381.7,1.22,37,0
2988.03,5407.9,2365.36,1.54,0,0
3014.92,5410.7,2362.47,0.9,64,0
2847.6,5461.4,2484.4,0.95,33,0
2853.3,5365.2,2481.6,0.95,39,0
2853.3,5365.2,2490.6,0.77,39,0
2911.41,5513.6,2495.27,0.89,56,0
2847.6,5461.4,2547.4,0.67,33,0
2847.6,5461.4,2481.4,0.95,33,0
2853.3,5365.2,2475.6,0.91,39,0
2847.6,5461.4,2487.4,0.95,33,0
2913.01,5513.6,2493.36,0.89,56,0
